  Row   Col.  Seas.  Beg.    End.   Length   Base   Mid-x   Max.    Amp.    L-der.  R-der.  L-integ.  S-integ. 
   35     1     1     7.9    47.4    39.5  2127.8    25.4  8432.8  6305.0  1110.4   502.0  219770.6  130402.1 
   35     1     2    54.5    90.9    36.4  2027.6    67.9  9138.1  7110.6   518.7   238.4  239042.8  161994.9 
   35     1     3   103.5   137.5    34.0  2043.3   118.6  9214.3  7171.1  1393.5   626.1  225520.9  151962.9 
   36     1     1    12.6    27.7    15.1  2221.0    26.6  9183.9  6962.9   961.5  -495.7  107374.5   69617.7 
   36     1     2    55.8    95.6    39.8  1876.1    71.2  9384.5  7508.4  1583.6   593.9  258483.4  179685.3 
   36     1     3   103.3   136.9    33.6  2023.4   118.0  9187.5  7164.1  1567.1   961.9  219595.9  148776.6 
   37     1     1    12.6    42.9    30.4  2183.2    26.7  9607.6  7424.4   953.2  -556.1  197401.5  127539.7 
   37     1     2    55.4    95.5    40.0  1850.4    71.4  9589.3  7738.9  1358.9   611.2  253141.1  175423.8 
   37     1     3   102.6   136.8    34.2  2042.8   118.2  9208.5  7165.7  1398.7   950.0  227216.5  153674.8 
   38     1     1    12.7    43.0    30.3  2158.8    26.6  9490.6  7331.8  1015.8  -536.5  197918.5  128836.2 
   38     1     2    55.4    95.3    39.9  1782.4    71.0  9542.5  7760.1  1372.1  -406.6  247171.2  172309.3 
   38     1     3   102.7   136.5    33.9  1988.2   118.4  9615.7  7627.5  1234.6  1026.4  228652.1  157077.2 
   39     1     1    13.0    42.8    29.7  2102.8    27.1  9820.6  7717.8  1020.5  -583.2  197673.2  132486.3 
   39     1     2    55.4    94.3    38.9  1679.8    70.0  9503.8  7824.0  1318.6  -489.1  223735.5  154864.7 
   39     1     3   102.2   136.8    34.6  2018.1   118.9  9373.3  7355.2   916.0  -453.4  227756.1  155103.8 
   40     1     1    12.8    42.6    29.8  2090.8    27.1  9905.2  7814.5   987.5  -593.7  201023.5  134119.2 
   40     1     2    56.2    94.2    37.9  1684.7    70.4  9443.9  7759.2  1399.2  -471.1  217786.5  150399.9 
   40     1     3   102.2   137.2    35.0  1985.3   118.4  9242.0  7256.6  1159.1   886.2  231749.6  158292.2 
   41     1     1    13.2    42.4    29.2  2189.5    27.1  9865.9  7676.4  1163.0   952.8  197730.8  129855.8 
   41     1     2    57.6    70.9    13.3  1755.5    70.5  9500.9  7745.4  1714.9  -490.0   97826.7   71494.0 
   41     1     3   102.1   137.0    34.9  2009.1   118.4  9181.0  7172.0  1116.7   937.8  232773.5  158438.3 
   42     1     1    13.4    42.5    29.1  2244.8    27.0  9851.1  7606.3  1288.0  -618.1  199105.4  129517.8 
   42     1     2    57.2    92.3    35.1  1840.1    71.0  9272.6  7432.5  1299.7  -566.4  209355.8  141271.7 
   42     1     3   102.2   135.8    33.6  2132.6   116.6  9301.0  7168.4  1238.4   562.3  219415.9  144775.6 
   43     1     1    12.9    42.4    29.5  2224.3    26.9  9887.6  7663.3  1118.1  -626.0  203100.7  131923.2 
   43     1     2    57.3    88.7    31.4  1815.0    71.2  9400.8  7585.9  1288.5  -510.6  201108.3  141214.1 
   43     1     3   102.4   135.9    33.5  2123.7   116.4  9352.5  7228.8  1341.8   610.6  218544.3  144214.7 
   44     1     1    12.7    42.6    29.9  2105.9    26.6  9569.9  7464.0  1018.6  -541.4  198410.4  131022.1 
   44     1     2    55.4    95.4    40.0  1748.7    71.2  9379.7  7630.9  1310.1  -414.6  241363.3  167915.9 
   44     1     3   102.6   136.9    34.3  1962.6   118.6  9237.1  7274.4  1158.4  1045.3  223905.3  153250.8 
   45     1     1    12.6    42.6    30.0  2117.4    27.0  9781.6  7664.2   920.7  -560.2  199128.1  131369.9 
   45     1     2    54.7    70.9    16.2  1692.6    70.1  9493.1  7800.5  1449.7  -474.4  108277.7   77811.5 
   45     1     3   102.0   137.1    35.1  1990.1   118.9  9251.2  7261.1   857.2  -444.6  231109.9  155487.7 
   46     1     1    12.5    42.7    30.1  2123.0    27.1  9692.8  7569.9   882.7  -544.9  199356.6  131421.7 
   46     1     2    54.5    70.9    16.4  1695.5    70.4  9496.0  7800.5  1314.7  -483.5  111180.4   80661.3 
   46     1     3   102.0   137.1    35.1  2000.2   118.4  9230.9  7230.8  1065.7   909.3  233771.8  157765.7 
   47     1     1    12.8    42.9    30.2  2145.9    27.2  9304.3  7158.4   913.9  -525.8  197413.8  128745.6 
   47     1     2    52.6    70.9    18.3  1693.2    70.6  9528.1  7834.9  1384.6  -486.4  112866.6   79003.1 
   47     1     3   101.9   136.6    34.7  1986.4   118.2  9167.1  7180.7  1104.3   908.5  228892.8  155395.3 
   48     1     1    13.0    42.7    29.7  2305.1    27.1  9815.2  7510.2  1221.4  -547.3  199739.3  125977.0 
   48     1     2    57.7    88.5    30.7  1928.8    70.7  9321.5  7392.7  1674.1  -514.6  195280.4  131631.3 
   48     1     3   102.6   135.4    32.8  2228.8   116.6  9526.2  7297.4  1368.0   615.3  221543.0  143536.5 
   49     1     1    12.7    42.4    29.7  2268.5    27.0  9831.9  7563.4  1127.2  -546.7  201314.7  128721.6 
   49     1     2    57.3    91.9    34.6  1856.9    71.3  9127.4  7270.5  1372.2  -482.3  206702.3  139852.6 
   49     1     3   102.5   135.4    32.9  2162.1   116.5  9443.2  7281.1  1255.1   634.9  220848.1  145174.8 
   50     1     1    12.7    42.5    29.8  2257.1    27.0  9887.9  7630.7  1119.8  -545.6  201436.2  129208.5 
   50     1     2    57.4    88.8    31.3  1873.2    71.0  9647.1  7773.9  1326.9  -545.3  202753.8  140937.9 
   50     1     3   102.5   135.2    32.7  2145.8   116.3  9391.6  7245.8  1309.4   634.5  218240.8  143138.6 
   51     1     1    12.3    42.6    30.4  2203.1    27.0  9871.4  7668.2  1048.6  -554.5  201513.9  131013.4 
   51     1     2    57.3    89.8    32.6  1839.0    71.3  9224.4  7385.4  1376.5  -511.6  200601.6  138076.8 
   51     1     3   102.5   135.1    32.6  2112.9   116.3  9382.1  7269.2  1346.5   656.6  216448.6  142496.7 
   52     1     1    11.7    42.7    31.0  2224.8    26.9  9839.0  7614.2  1001.6  -551.5  204752.7  131335.0 
   52     1     2    57.4    88.3    30.9  1864.3    71.3  9160.3  7296.0  1381.3  -505.0  196320.5  134799.3 
   52     1     3   102.4   135.4    32.9  2121.3   116.1  9439.3  7317.9  1437.7   663.1  217377.0  143131.0 
   53     1     1     6.6    42.5    35.9  2182.6    26.9  9723.2  7540.6   720.2  -549.9  220576.2  137635.9 
   53     1     2    57.2    93.4    36.2  1795.0    71.3  9218.4  7423.5  1322.0  -481.2  211698.0  143488.5 
   53     1     3   102.2   135.9    33.7  2093.5   116.3  9138.7  7045.2  1403.7   708.3  218025.2  144752.2 
   54     1     1     5.1    41.5    36.4  2410.3    24.0  9464.5  7054.2   452.2   638.1  232744.7  141154.9 
   54     1     2    53.5    91.0    37.4  2382.2    74.6  8961.6  6579.4   409.0  -455.2  229089.2  136183.8 
   54     1     3   105.0   138.6    33.6  2202.9   120.4  9517.1  7314.2  1211.0   638.3  223983.2  144679.0 
   55     1     1     5.3    41.6    36.3  2410.5    23.6  9564.1  7153.7   465.2   627.8  229582.3  137985.1 
   55     1     2    54.0    90.7    36.7  2348.1    74.5  8831.3  6483.3   449.9  -423.2  224055.1  132480.4 
   55     1     3   104.9   138.3    33.4  2173.3   120.3  9698.3  7525.0  1219.9   690.4  230574.7  152335.4 
   56     1     1     5.7    41.8    36.1  2337.5    23.8  9527.5  7189.9   514.6   715.6  226460.9  137634.4 
   56     1     2    54.2    90.7    36.5  2260.4    74.5  9415.7  7155.3   475.7  -504.0  227058.2  141164.3 
   56     1     3   105.2   137.9    32.7  2164.9   120.5  9525.8  7360.9  1251.3   783.3  222990.8  149382.8 
   57     1     1    12.4    42.7    30.3  2296.1    27.0  9640.2  7344.2  1152.9  -523.1  200975.5  127500.8 
   57     1     2    57.1    87.8    30.7  1946.6    70.9  9268.3  7321.6  1400.9  -511.4  192664.9  130373.4 
   57     1     3   103.4   135.3    32.0  2222.4   116.3  9651.8  7429.4  1561.1  -657.5  217487.3  141924.8 
   58     1     1    12.7    42.4    29.8  2349.1    27.0  9672.6  7323.5  1111.0  -516.4  199778.8  124606.1 
   58     1     2    57.3    88.0    30.7  1932.0    71.3  9223.7  7291.7  1402.8  -501.6  196819.8  134996.6 
   58     1     3   103.2   135.2    32.1  2187.9   116.4  9591.6  7403.7  1400.2   634.1  215766.2  141379.2 
   59     1     1    12.5    42.8    30.3  2275.9    26.9  9742.7  7466.8  1065.4  -532.0  199893.3  127064.9 
   59     1     2    57.2    88.7    31.5  1837.5    71.2  9318.5  7481.0  1340.6  -481.4  201015.6  140378.6 
   59     1     3   102.8   135.0    32.2  2132.2   116.0  9617.1  7484.9  1483.2   624.3  217119.8  142491.9 
   60     1     1    12.1    42.8    30.7  2240.6    27.0  9737.7  7497.1  1046.3  -533.0  200529.3  128830.7 
   60     1     2    57.2    88.3    31.1  1836.4    71.2  9319.2  7482.8  1357.6  -485.7  200849.9  140250.2 
   60     1     3   102.9   135.4    32.5  2098.7   116.3  9456.1  7357.4  1527.1   672.2  215469.1  142013.5 
   61     1     1     7.3    42.4    35.1  2240.7    26.9  9642.6  7401.9   860.5  -521.6  217674.5  134768.4 
   61     1     2    57.3    88.0    30.7  1841.1    71.2  9157.8  7316.7  1364.7  -470.2  195886.4  136971.4 
   61     1     3   102.8   135.5    32.7  2114.5   116.4  9408.4  7293.9  1514.6   719.5  215559.8  141553.3 
   62     1     1     6.5    42.2    35.7  2255.1    26.9  9628.6  7373.5   755.3  -537.9  213702.2  128009.9 
   62     1     2    57.3    88.6    31.3  1850.2    71.1  9061.0  7210.8  1472.1   808.7  198513.3  137455.4 
   62     1     3   102.5   136.9    34.4  2091.4   116.4  9114.5  7023.1  1356.9   609.5  217172.6  141883.5 
   63     1     1     5.6    46.2    40.5  3080.5    24.5  7686.6  4606.1   279.2   280.5  242590.9  110128.9 
   63     1     2    54.2    91.1    36.9  2652.2    70.6  8290.4  5638.2   301.5   232.4  218603.5  115169.0 
   63     1     3   101.4   139.9    38.5  2610.9   115.7  8653.8  6042.9   448.3   202.2  254870.8  150434.6 
   64     1     1     5.2    41.4    36.3  2408.0    24.3  9319.5  6911.4   442.0   676.7  231062.1  139556.7 
   64     1     2    54.0    90.6    36.6  2350.8    68.9  9674.7  7323.9  1074.8  1579.2  228917.5  139586.8 
   64     1     3   105.0   138.4    33.4  2173.9   120.2  9195.7  7021.9  1148.5   648.3  225003.6  148917.9 
   65     1     1     5.4    42.1    36.6  2376.0    24.0  9423.9  7047.9   464.5   691.3  230437.4  137773.9 
   65     1     2    54.1    90.6    36.5  2358.3    68.3  9627.1  7268.8   489.8  1261.9  227268.8  137655.2 
   65     1     3   105.4   138.2    32.9  2196.5   120.1  9370.9  7174.4  1273.1   674.7  227611.8  150734.3 
   66     1     1     5.7    41.7    36.0  2328.9    23.7  9375.6  7046.7   531.8   734.6  227231.2  138733.0 
   66     1     2    54.2    90.8    36.6  2289.2    68.4  9659.5  7370.3   486.2  1221.5  223466.0  136476.4 
   66     1     3   105.3   137.8    32.5  2195.4   120.4  9526.3  7330.9  1261.2   772.1  223569.2  148925.2 
   67     1     1     6.1    41.2    35.1  2326.7    23.8  9355.3  7028.7   587.5   786.9  218703.8  132617.5 
   67     1     2    54.3    90.5    36.3  2266.2    68.1  9719.6  7453.4  1127.5  1192.5  221844.5  135730.3 
   67     1     3   104.5   137.4    32.9  2100.5   120.5  9616.8  7516.3  1199.9   831.5  226197.1  152678.3 
   68     1     1     7.5    41.1    33.6  2317.7    18.5  9269.2  6951.5   724.8   255.4  208001.2  124565.5 
   68     1     2    54.4    90.6    36.2  2203.3    68.3  9599.3  7396.1   553.1   259.0  224377.7  140653.9 
   68     1     3   103.7   137.4    33.7  2042.3   120.3  9573.6  7531.3   860.3   776.1  228942.4  155418.8 
   69     1     1     9.2    41.0    31.8  2210.2    24.2  9350.0  7139.8   938.2   907.5  202755.9  127609.9 
   69     1     2    54.1    90.6    36.5  2134.1    68.2  9178.2  7044.1   501.2   254.8  225656.6  144560.2 
   69     1     3   103.8   137.3    33.5  1997.7   120.1  9485.4  7487.7   890.4   821.7  228684.4  156766.8 
   70     1     1     9.3    40.4    31.2  2113.6    18.6  9618.5  7505.0   903.0   280.8  198176.5  128428.6 
   70     1     2    54.2    90.2    36.1  2088.0    73.8  9192.5  7104.6   525.9   914.5  232359.7  153016.4 
   70     1     3   103.2   136.7    33.5  1972.1   120.3  9395.8  7423.6   691.5   897.6  219698.7  150674.2 
